sentence,sentiment
بەشداربوون لە هاکا سولی بردنەوەیە,positive
هاکا سولی زۆر گەرمبوو,positive
گرنگ سەرکەوتنە لە کۆتاییدا,positive
هەر بژیت سەرکەوتوو بن,positive
دەستت بشکێ,negative
ملت بشکێت,negative
تۆ راست ناکەی,negative
تۆ ڕاستت نەوت,negative
هەڵەت فەرموس,negative
هەڵەت فەرموو,negative
پاش ماوە فڕێمەدە,positive
پلاستیک بەکار مەهێنە,positive
برۆ بۆ قوتابخانە ,positive
خوێندنی ئەمڕۆ سوودی نەماوە,negative
هەرچیەک بکەی ناگەیتەوە بە من,negative
تا من هەبم تۆ دووەمی,negative
لە ئاست مندا نیت,negative
لە ئاست مندا نین ,negative
کەم مەخەوە,positive
زۆر بخەوە,negative
